Date,doses
12/14/2020,77
12/15/2020,2116
12/16/2020,6625
12/17/2020,11118
12/18/2020,16904
12/19/2020,18589
12/20/2020,19693
12/21/2020,25965
12/22/2020,35717
12/23/2020,49961
12/24/2020,57197
12/25/2020,57376
12/26/2020,61724
12/27/2020,65561
12/28/2020,76507
12/29/2020,87180
12/30/2020,99975
12/31/2020,107208
1/1/2021,107372
1/2/2021,111177
1/3/2021,114718
1/4/2021,127682
1/5/2021,143702
1/6/2021,165199
1/7/2021,186634
1/8/2021,208431
1/9/2021,217518
1/10/2021,226294
1/11/2021,259198
1/12/2021,294821
1/13/2021,335620
1/14/2021,376333
1/15/2021,408688
1/16/2021,440980
1/17/2021,466264
1/18/2021,495341
1/19/2021,538553
1/20/2021,582395
1/21/2021,615452
1/22/2021,643948
1/23/2021,662439
1/24/2021,672778
1/25/2021,696791
1/26/2021,723667
1/27/2021,756132
1/28/2021,797954
1/29/2021,840540
1/30/2021,862479
1/31/2021,878091
2/1/2021,884416
2/2/2021,896366
2/3/2021,932943
2/4/2021,978758
2/5/2021,1025328
2/6/2021,1058989
2/7/2021,1079000
2/8/2021,1118631
2/9/2021,1163241
2/10/2021,1211082
2/11/2021,1271441
2/12/2021,1339249
2/13/2021,1391516
2/14/2021,1431043
2/15/2021,1453716
2/16/2021,1493829
2/17/2021,1531371
2/18/2021,1567518
2/19/2021,1604015
2/20/2021,1640951
2/21/2021,1664546
2/22/2021,1688717
2/23/2021,1727295
2/24/2021,1782883
2/25/2021,1866409
2/26/2021,1959496
2/27/2021,2032647
2/28/2021,2090501
3/1/2021,2141137
3/2/2021,2199330
3/3/2021,2262603
3/4/2021,2344515
3/5/2021,2430752
3/6/2021,2500950
3/7/2021,2557351
3/8/2021,2619057
3/9/2021,2677149
3/10/2021,2747333
3/11/2021,2831215
3/12/2021,2915347
3/13/2021,2986374
3/14/2021,3036182
3/15/2021,3090024
3/16/2021,3151976
3/17/2021,3221742
3/18/2021,3302334
3/19/2021,3383251
3/20/2021,3450296
3/21/2021,3498400
3/22/2021,3560969
3/23/2021,3634263
3/24/2021,3715884
3/25/2021,3811970
3/26/2021,3907081
3/27/2021,3988692
3/28/2021,4048994
3/29/2021,4123395
3/30/2021,4207486
3/31/2021,4306867
4/1/2021,4420112
4/2/2021,4526799
4/3/2021,4612558
4/4/2021,4664569
4/5/2021,4748255
4/6/2021,4845020
4/7/2021,4948445
4/8/2021,5063770
4/9/2021,5176731
4/10/2021,5270018
4/11/2021,5332899
4/12/2021,5411714
4/13/2021,5488396
4/14/2021,5570805
4/15/2021,5657149
4/16/2021,5742196
4/17/2021,5810583
4/18/2021,5849394
4/19/2021,5910183
4/20/2021,5975451
4/21/2021,6043085
4/22/2021,6106141
4/23/2021,6169989
4/24/2021,6223935
4/25/2021,6256432
4/26/2021,6301558
4/27/2021,6333274
